iter	Passed	Remaining
0	4	429
1	7	361
2	10	331
3	12	293
4	14	274
5	16	255
6	18	241
7	19	228
8	21	218
9	23	208
10	24	200
11	26	192
12	27	184
13	28	177
14	30	171
15	31	166
16	32	160
17	34	155
18	35	149
19	36	145
20	37	141
21	38	136
22	39	132
23	40	128
24	41	124
25	42	121
26	43	117
27	44	114
28	45	111
29	46	107
30	47	104
31	47	101
32	48	99
33	49	96
34	50	94
35	51	91
36	52	89
37	53	87
38	54	84
39	55	82
40	56	80
41	56	78
42	57	76
43	58	74
44	59	72
45	60	70
46	61	68
47	61	67
48	62	65
49	63	63
50	64	62
51	65	60
52	66	59
53	67	57
54	68	55
55	69	54
56	69	52
57	71	51
58	72	50
59	73	48
60	73	47
61	74	45
62	75	44
63	76	43
64	77	41
65	78	40
66	79	39
67	80	37
68	81	36
69	82	35
70	83	33
71	84	32
72	85	31
73	85	30
74	86	28
75	87	27
76	88	26
77	89	25
78	90	24
79	91	22
80	92	21
81	93	20
82	93	19
83	94	18
84	95	16
85	96	15
86	97	14
87	98	13
88	99	12
89	100	11
90	101	10
91	102	8
92	103	7
93	104	6
94	105	5
95	105	4
96	106	3
97	107	2
98	108	1
99	109	0
